# Airport database: IATA|ICAO|LAT|LON|CITY|NAME
# Source: OurAirports (public domain), scheduled-service
# large+medium airports. Add your own as extra lines.
BNX|LQBK|44.9414|17.2975|Mahovljani|Banja Luka International Airport
BOB|NTTB|-16.4444|-151.751|Motu Mute|Bora Bora Airport
BOC|MPBO|9.3408|-82.2508|Isla Colon|Bocas del Toro "Isla Colon" International Airport
BOD|LFBD|44.8287|-0.7154|Bordeaux|BordeauxMerignac Airport
BOG|SKBO|4.7016|-74.1469|Bogota|El Dorado International Airport
BOH|EGHH|50.7805|-1.8396|Bournemouth|Bournemouth Airport
BOI|KBOI|43.5644|-116.223|Boise|Boise Air Terminal/Gowen Field
BOJ|LBBG|42.5699|27.5152|Burgas|Burgas Airport
BOM|VABB|19.0887|72.8679|Mumbai|Chhatrapati Shivaji Maharaj International Airport
BON|TNCB|12.131|-68.2685|Kralendijk|Flamingo International Airport
BOO|ENBO|67.2692|14.3653|Bod|Bod Airport
BOR|VLBK|20.324|100.1654|Ton Phueng|Bokeo International Airport
BOS|KBOS|42.362|-71.0079|Boston|Boston Logan International Airport
BOY|DFOO|11.1601|-4.331|Bobo Dioulasso|Bobo Dioulasso Airport
BPE|ZBDH|39.6664|119.0614|Qinhuangdao (Changli)|Qinhuangdao Beidaihe Airport
BPL|ZWBL|44.8955|82.3001|Bole|Bole Alashankou Airport
BPN|WALL|-1.2683|116.8945|Balikpapan|Sultan Aji Muhammad Sulaiman Sepinggan International Airport
BPS|SBPS|-16.4384|-39.0806|Porto Seguro|Porto Seguro International Airport
BPT|KBPT|29.9508|-94.0207|Beaumont/Port Arthur|Jack Brooks Regional Airport
BPX|ZUBD|30.5536|97.1083|Bangda|Qamdo Bangda Airport
BPY|FMNQ|-16.7445|44.4825|Besalampy|Besalampy Airport
BQK|KBQK|31.2588|-81.4665|Brunswick|Brunswick Golden Isles Airport
BQL|YBOU|-22.9133|139.9||Boulia Airport
BQN|TJBQ|18.4949|-67.1294|Aguadilla|Rafael Hernandez International Airport
BQS|UHBB|50.4267|127.4155|Blagoveschensk|Ignatyevo Airport
BQT|UMBB|52.1081|23.8968|Brest|Brest International Airport
BQU|TVSB|12.9884|-61.262|Bequia|J F Mitchell Airport
BRC|SAZS|-41.1512|-71.1575|San Carlos de Bariloche|Teniente Luis Candelaria International Airport
BRD|KBRD|46.4029|-94.1297|Brainerd|Brainerd Lakes Regional Airport
BRE|EDDW|53.0468|8.7893|Bremen|Bremen Airport
BRI|LIBD|41.1389|16.7606|Bari|Bari Karol Wojtya International Airport
BRK|YBKE|-30.0392|145.952||Bourke Airport
